Customer_ID,Total_Orders,Delayed_Orders,Late_Complaints,Contract_Grace_Period,Complaint_Rate_When_Delayed,Tolerance_Score,Base_Max_Safe_Delay_Days,Risk_Profile
B2B-21647,8,4,3,3,0.75,0.25,0,High Risk
B2B-21663,10,2,1,7,0.5,0.5,0,High Risk
B2B-21700,6,2,1,3,0.5,0.5,0,High Risk
B2B-21723,7,2,0,7,0.0,1.0,3,Low Risk
B2B-21862,10,8,3,3,0.375,0.625,0,High Risk
B2B-22033,6,5,2,7,0.4,0.6,0,High Risk
B2B-22162,6,2,2,3,1.0,0.0,0,High Risk
B2B-2258,15,5,0,3,0.0,1.0,3,Low Risk
B2B-23088,11,5,0,3,0.0,1.0,3,Low Risk
B2B-23833,9,8,5,3,0.625,0.375,0,High Risk
B2B-2402,6,2,1,3,0.5,0.5,0,High Risk
B2B-24126,8,4,2,3,0.5,0.5,0,High Risk
B2B-24194,8,3,0,7,0.0,1.0,3,Low Risk
B2B-24203,12,5,2,3,0.4,0.6,0,High Risk
B2B-24529,11,2,1,3,0.5,0.5,0,High Risk
B2B-24909,6,5,1,3,0.2,0.8,1,Medium Risk
B2B-24922,13,6,0,7,0.0,1.0,3,Low Risk
B2B-24971,9,3,1,3,0.3333333333333333,0.6666666666666667,0,High Risk
B2B-24999,8,4,0,7,0.0,1.0,3,Low Risk
B2B-25226,11,6,1,3,0.16666666666666666,0.8333333333333334,1,Medium Risk
B2B-25537,5,3,0,7,0.0,1.0,3,Low Risk
B2B-25749,10,4,0,7,0.0,1.0,3,Low Risk
B2B-25910,10,7,0,3,0.0,1.0,3,Low Risk
B2B-26090,11,5,0,7,0.0,1.0,3,Low Risk
B2B-26239,9,5,4,3,0.8,0.19999999999999996,0,High Risk
B2B-26477,12,2,1,3,0.5,0.5,0,High Risk
B2B-26559,5,1,0,7,0.0,1.0,3,Low Risk
B2B-26819,10,4,0,7,0.0,1.0,3,Low Risk
B2B-27189,10,4,3,3,0.75,0.25,0,High Risk
B2B-27599,11,5,1,3,0.2,0.8,1,Medium Risk
B2B-2773,13,7,1,3,0.14285714285714285,0.8571428571428572,1,Medium Risk
B2B-28109,11,5,1,7,0.2,0.8,1,Medium Risk
B2B-28120,10,2,1,3,0.5,0.5,0,High Risk
B2B-28259,7,1,0,3,0.0,1.0,3,Low Risk
B2B-28375,10,4,0,3,0.0,1.0,3,Low Risk
B2B-28602,15,9,3,3,0.3333333333333333,0.6666666666666667,0,High Risk
B2B-28688,7,3,1,3,0.3333333333333333,0.6666666666666667,0,High Risk
B2B-28699,6,1,0,7,0.0,1.0,3,Low Risk
B2B-29165,6,1,0,3,0.0,1.0,3,Low Risk
B2B-29283,13,2,0,3,0.0,1.0,3,Low Risk
B2B-29290,11,5,3,7,0.6,0.4,0,High Risk
B2B-29323,9,6,2,3,0.3333333333333333,0.6666666666666667,0,High Risk
B2B-29564,8,3,1,3,0.3333333333333333,0.6666666666666667,0,High Risk
B2B-2979,8,4,1,3,0.25,0.75,1,Medium Risk
B2B-30067,8,4,1,7,0.25,0.75,1,Medium Risk
B2B-30184,6,3,0,7,0.0,1.0,3,Low Risk
B2B-30192,7,3,0,7,0.0,1.0,3,Low Risk
B2B-30230,7,4,0,3,0.0,1.0,3,Low Risk
B2B-3029,6,3,1,3,0.3333333333333333,0.6666666666666667,0,High Risk
B2B-30703,12,3,1,3,0.3333333333333333,0.6666666666666667,0,High Risk
B2B-30729,11,5,0,3,0.0,1.0,3,Low Risk
B2B-31506,10,6,1,7,0.16666666666666666,0.8333333333333334,1,Medium Risk
B2B-31915,13,7,2,7,0.2857142857142857,0.7142857142857143,1,Medium Risk
B2B-31938,9,5,2,3,0.4,0.6,0,High Risk
B2B-32334,12,6,1,3,0.16666666666666666,0.8333333333333334,1,Medium Risk
B2B-33006,10,3,1,3,0.3333333333333333,0.6666666666666667,0,High Risk
B2B-33181,12,3,1,3,0.3333333333333333,0.6666666666666667,0,High Risk
B2B-33392,12,3,2,7,0.6666666666666666,0.33333333333333337,0,High Risk
B2B-33671,10,5,1,7,0.2,0.8,1,Medium Risk
B2B-33680,11,10,5,3,0.5,0.5,0,High Risk
B2B-3380,5,0,0,3,0.5,0.5,0,High Risk
B2B-33897,13,6,0,7,0.0,1.0,3,Low Risk
B2B-34252,6,1,0,3,0.0,1.0,3,Low Risk
B2B-34427,6,3,2,3,0.6666666666666666,0.33333333333333337,0,High Risk
B2B-3443,14,7,3,3,0.42857142857142855,0.5714285714285714,0,High Risk
B2B-34548,10,3,1,7,0.3333333333333333,0.6666666666666667,0,High Risk
B2B-34949,15,4,1,3,0.25,0.75,1,Medium Risk
B2B-35219,13,3,1,3,0.3333333333333333,0.6666666666666667,0,High Risk
B2B-3524,11,7,1,3,0.14285714285714285,0.8571428571428572,1,Medium Risk
B2B-35323,9,1,1,3,1.0,0.0,0,High Risk
B2B-35688,13,1,0,7,0.0,1.0,3,Low Risk
B2B-35745,16,5,0,7,0.0,1.0,3,Low Risk
B2B-35757,12,3,1,3,0.3333333333333333,0.6666666666666667,0,High Risk
B2B-35806,14,3,1,3,0.3333333333333333,0.6666666666666667,0,High Risk
B2B-36134,6,4,2,7,0.5,0.5,0,High Risk
B2B-3615,11,5,0,3,0.0,1.0,3,Low Risk
B2B-36206,10,4,1,3,0.25,0.75,1,Medium Risk
B2B-36364,8,2,0,3,0.0,1.0,3,Low Risk
B2B-36771,10,3,1,3,0.3333333333333333,0.6666666666666667,0,High Risk
B2B-36874,9,6,3,3,0.5,0.5,0,High Risk
B2B-36952,12,9,1,7,0.1111111111111111,0.8888888888888888,1,Medium Risk
B2B-37007,10,6,2,3,0.3333333333333333,0.6666666666666667,0,High Risk
B2B-37132,12,6,0,7,0.0,1.0,3,Low Risk
B2B-37533,8,5,0,3,0.0,1.0,3,Low Risk
B2B-38398,11,4,1,3,0.25,0.75,1,Medium Risk
B2B-38648,19,5,1,3,0.2,0.8,1,Medium Risk
B2B-38826,13,3,0,7,0.0,1.0,3,Low Risk
B2B-39082,10,4,0,3,0.0,1.0,3,Low Risk
B2B-39279,13,8,3,7,0.375,0.625,0,High Risk
B2B-3948,8,4,1,3,0.25,0.75,1,Medium Risk
B2B-39487,5,2,0,3,0.0,1.0,3,Low Risk
B2B-39539,11,4,1,3,0.25,0.75,1,Medium Risk
B2B-39734,9,4,1,3,0.25,0.75,1,Medium Risk
B2B-39956,9,5,1,3,0.2,0.8,1,Medium Risk
B2B-40012,8,1,0,7,0.0,1.0,3,Low Risk
B2B-40085,9,2,1,3,0.5,0.5,0,High Risk
B2B-40178,8,2,2,3,1.0,0.0,0,High Risk
B2B-40535,8,4,1,3,0.25,0.75,1,Medium Risk
B2B-40702,11,7,1,7,0.14285714285714285,0.8571428571428572,1,Medium Risk
B2B-40839,5,1,1,3,1.0,0.0,0,High Risk
B2B-40989,8,3,0,7,0.0,1.0,3,Low Risk
B2B-41024,11,5,3,3,0.6,0.4,0,High Risk
B2B-41054,10,3,0,7,0.0,1.0,3,Low Risk
B2B-41178,8,3,0,3,0.0,1.0,3,Low Risk
B2B-41230,16,5,0,3,0.0,1.0,3,Low Risk
B2B-41329,10,4,0,7,0.0,1.0,3,Low Risk
B2B-41342,12,6,3,3,0.5,0.5,0,High Risk
B2B-41547,5,3,1,3,0.3333333333333333,0.6666666666666667,0,High Risk
B2B-41580,13,4,0,7,0.0,1.0,3,Low Risk
B2B-41706,13,2,0,7,0.0,1.0,3,Low Risk
B2B-41761,12,3,1,3,0.3333333333333333,0.6666666666666667,0,High Risk
B2B-41777,11,4,0,7,0.0,1.0,3,Low Risk
B2B-4182,9,3,1,3,0.3333333333333333,0.6666666666666667,0,High Risk
B2B-41869,11,4,0,7,0.0,1.0,3,Low Risk
B2B-41910,14,3,0,3,0.0,1.0,3,Low Risk
B2B-42372,16,6,2,3,0.3333333333333333,0.6666666666666667,0,High Risk
B2B-42595,8,3,2,3,0.6666666666666666,0.33333333333333337,0,High Risk
B2B-42641,8,4,1,3,0.25,0.75,1,Medium Risk
B2B-42643,14,5,0,3,0.0,1.0,3,Low Risk
B2B-42934,7,4,2,3,0.5,0.5,0,High Risk
B2B-43127,9,6,2,7,0.3333333333333333,0.6666666666666667,0,High Risk
B2B-43323,10,3,0,7,0.0,1.0,3,Low Risk
B2B-43536,13,7,4,3,0.5714285714285714,0.4285714285714286,0,High Risk
B2B-44050,8,4,1,3,0.25,0.75,1,Medium Risk
B2B-44847,5,0,0,7,0.5,0.5,0,High Risk
B2B-44861,16,3,1,3,0.3333333333333333,0.6666666666666667,0,High Risk
B2B-44951,11,3,1,3,0.3333333333333333,0.6666666666666667,0,High Risk
B2B-45159,4,3,1,3,0.3333333333333333,0.6666666666666667,0,High Risk
B2B-45330,17,7,1,3,0.14285714285714285,0.8571428571428572,1,Medium Risk
B2B-45405,13,3,0,7,0.0,1.0,3,Low Risk
B2B-45936,10,6,4,3,0.6666666666666666,0.33333333333333337,0,High Risk
B2B-46127,8,4,1,3,0.25,0.75,1,Medium Risk
B2B-46368,5,3,0,7,0.0,1.0,3,Low Risk
B2B-46372,12,8,4,3,0.5,0.5,0,High Risk
B2B-46396,16,5,0,7,0.0,1.0,3,Low Risk
B2B-469,11,4,1,7,0.25,0.75,1,Medium Risk
B2B-47096,8,1,0,3,0.0,1.0,3,Low Risk
B2B-47208,12,8,3,3,0.375,0.625,0,High Risk
B2B-4727,13,5,2,7,0.4,0.6,0,High Risk
B2B-47320,5,1,0,3,0.0,1.0,3,Low Risk
B2B-475,11,5,1,3,0.2,0.8,1,Medium Risk
B2B-47887,11,4,1,3,0.25,0.75,1,Medium Risk
B2B-48337,11,6,0,3,0.0,1.0,3,Low Risk
B2B-48439,12,3,1,3,0.3333333333333333,0.6666666666666667,0,High Risk
B2B-48997,10,3,2,3,0.6666666666666666,0.33333333333333337,0,High Risk
B2B-49044,12,4,0,7,0.0,1.0,3,Low Risk
B2B-4919,12,5,1,3,0.2,0.8,1,Medium Risk
B2B-4952,14,5,2,3,0.4,0.6,0,High Risk
B2B-49876,10,1,0,3,0.0,1.0,3,Low Risk
B2B-50609,6,1,0,7,0.0,1.0,3,Low Risk
B2B-50778,11,3,1,3,0.3333333333333333,0.6666666666666667,0,High Risk
B2B-50991,14,3,2,3,0.6666666666666666,0.33333333333333337,0,High Risk
B2B-5107,11,3,0,7,0.0,1.0,3,Low Risk
B2B-51091,16,7,4,3,0.5714285714285714,0.4285714285714286,0,High Risk
B2B-51284,12,1,0,3,0.0,1.0,3,Low Risk
B2B-51328,7,2,0,3,0.0,1.0,3,Low Risk
B2B-51530,9,6,3,3,0.5,0.5,0,High Risk
B2B-52072,9,2,0,7,0.0,1.0,3,Low Risk
B2B-5208,11,2,0,3,0.0,1.0,3,Low Risk
B2B-52106,10,3,0,3,0.0,1.0,3,Low Risk
B2B-5218,12,3,2,3,0.6666666666666666,0.33333333333333337,0,High Risk
B2B-52522,11,5,0,3,0.0,1.0,3,Low Risk
B2B-52585,6,2,0,7,0.0,1.0,3,Low Risk
B2B-52689,13,5,2,3,0.4,0.6,0,High Risk
B2B-52738,13,6,4,3,0.6666666666666666,0.33333333333333337,0,High Risk
B2B-52871,7,4,1,3,0.25,0.75,1,Medium Risk
B2B-52943,15,6,1,7,0.16666666666666666,0.8333333333333334,1,Medium Risk
B2B-53047,8,4,2,3,0.5,0.5,0,High Risk
B2B-532,8,3,0,7,0.0,1.0,3,Low Risk
B2B-53585,12,5,1,7,0.2,0.8,1,Medium Risk
B2B-53868,7,2,1,3,0.5,0.5,0,High Risk
B2B-53897,3,2,0,3,0.0,1.0,3,Low Risk
B2B-53943,16,5,2,3,0.4,0.6,0,High Risk
B2B-54070,8,5,1,3,0.2,0.8,1,Medium Risk
B2B-54346,11,4,0,7,0.0,1.0,3,Low Risk
B2B-54672,14,9,2,3,0.2222222222222222,0.7777777777777778,1,Medium Risk
B2B-54897,8,2,0,3,0.0,1.0,3,Low Risk
B2B-54945,14,7,1,7,0.14285714285714285,0.8571428571428572,1,Medium Risk
B2B-54971,12,4,0,7,0.0,1.0,3,Low Risk
B2B-55207,12,3,1,3,0.3333333333333333,0.6666666666666667,0,High Risk
B2B-55267,6,3,0,3,0.0,1.0,3,Low Risk
B2B-55272,10,2,0,7,0.0,1.0,3,Low Risk
B2B-55547,12,6,0,3,0.0,1.0,3,Low Risk
B2B-55596,9,2,1,3,0.5,0.5,0,High Risk
B2B-55636,6,4,0,7,0.0,1.0,3,Low Risk
B2B-55682,2,0,0,3,0.5,0.5,0,High Risk
B2B-55930,15,8,0,3,0.0,1.0,3,Low Risk
B2B-56126,13,5,3,3,0.6,0.4,0,High Risk
B2B-5625,17,5,3,3,0.6,0.4,0,High Risk
B2B-56377,13,4,0,3,0.0,1.0,3,Low Risk
B2B-56560,6,3,1,3,0.3333333333333333,0.6666666666666667,0,High Risk
B2B-56564,8,1,0,7,0.0,1.0,3,Low Risk
B2B-56992,11,3,2,3,0.6666666666666666,0.33333333333333337,0,High Risk
B2B-57091,5,1,0,3,0.0,1.0,3,Low Risk
B2B-57426,8,3,0,7,0.0,1.0,3,Low Risk
B2B-57435,5,2,0,3,0.0,1.0,3,Low Risk
B2B-57541,12,2,2,3,1.0,0.0,0,High Risk
B2B-57770,9,4,2,3,0.5,0.5,0,High Risk
B2B-57908,10,4,0,3,0.0,1.0,3,Low Risk
B2B-58025,14,2,0,3,0.0,1.0,3,Low Risk
B2B-58097,9,6,1,3,0.16666666666666666,0.8333333333333334,1,Medium Risk
B2B-582,13,4,1,3,0.25,0.75,1,Medium Risk
B2B-58252,12,9,2,3,0.2222222222222222,0.7777777777777778,1,Medium Risk
B2B-58412,11,3,0,7,0.0,1.0,3,Low Risk
B2B-58497,5,2,0,3,0.0,1.0,3,Low Risk
B2B-58522,7,3,1,3,0.3333333333333333,0.6666666666666667,0,High Risk
B2B-5941,9,2,1,3,0.5,0.5,0,High Risk
B2B-5963,14,5,1,3,0.2,0.8,1,Medium Risk
B2B-59929,9,3,0,3,0.0,1.0,3,Low Risk
B2B-60586,8,3,2,3,0.6666666666666666,0.33333333333333337,0,High Risk
B2B-61154,9,5,2,3,0.4,0.6,0,High Risk
B2B-62271,10,0,0,7,0.5,0.5,0,High Risk
B2B-62355,6,2,1,3,0.5,0.5,0,High Risk
B2B-62843,7,3,0,7,0.0,1.0,3,Low Risk
B2B-62940,8,3,1,3,0.3333333333333333,0.6666666666666667,0,High Risk
B2B-6304,11,5,0,3,0.0,1.0,3,Low Risk
B2B-6337,18,3,0,7,0.0,1.0,3,Low Risk
B2B-63735,9,2,0,3,0.0,1.0,3,Low Risk
B2B-6404,7,4,0,3,0.0,1.0,3,Low Risk
B2B-64224,7,4,1,3,0.25,0.75,1,Medium Risk
B2B-64472,12,6,1,3,0.16666666666666666,0.8333333333333334,1,Medium Risk
B2B-6492,12,3,1,3,0.3333333333333333,0.6666666666666667,0,High Risk
B2B-65084,17,7,2,7,0.2857142857142857,0.7142857142857143,1,Medium Risk
B2B-65273,7,3,2,3,0.6666666666666666,0.33333333333333337,0,High Risk
B2B-65412,8,4,2,3,0.5,0.5,0,High Risk
B2B-65614,10,4,0,3,0.0,1.0,3,Low Risk
B2B-6646,7,3,1,7,0.3333333333333333,0.6666666666666667,0,High Risk
B2B-66471,8,4,2,3,0.5,0.5,0,High Risk
B2B-67047,14,3,1,3,0.3333333333333333,0.6666666666666667,0,High Risk
B2B-67196,8,3,0,7,0.0,1.0,3,Low Risk
B2B-67244,12,6,4,3,0.6666666666666666,0.33333333333333337,0,High Risk
B2B-6754,11,4,2,3,0.5,0.5,0,High Risk
B2B-68087,12,7,0,7,0.0,1.0,3,Low Risk
B2B-68135,11,6,2,7,0.3333333333333333,0.6666666666666667,0,High Risk
B2B-68212,11,2,1,3,0.5,0.5,0,High Risk
B2B-68218,7,4,1,3,0.25,0.75,1,Medium Risk
B2B-68467,11,4,2,3,0.5,0.5,0,High Risk
B2B-68919,15,8,2,7,0.25,0.75,1,Medium Risk
B2B-68926,8,2,0,3,0.0,1.0,3,Low Risk
B2B-6903,5,1,0,3,0.0,1.0,3,Low Risk
B2B-69093,5,3,3,3,1.0,0.0,0,High Risk
B2B-69254,14,10,2,7,0.2,0.8,1,Medium Risk
B2B-69353,6,3,2,3,0.6666666666666666,0.33333333333333337,0,High Risk
B2B-69495,12,3,0,3,0.0,1.0,3,Low Risk
B2B-69617,12,8,1,7,0.125,0.875,1,Medium Risk
B2B-69665,12,8,2,3,0.25,0.75,1,Medium Risk
B2B-69672,10,3,0,7,0.0,1.0,3,Low Risk
B2B-69678,11,4,2,3,0.5,0.5,0,High Risk
B2B-69737,7,2,1,7,0.5,0.5,0,High Risk
B2B-69860,13,3,0,3,0.0,1.0,3,Low Risk
B2B-699,8,2,0,3,0.0,1.0,3,Low Risk
B2B-70116,7,2,0,7,0.0,1.0,3,Low Risk
B2B-70283,6,1,1,3,1.0,0.0,0,High Risk
B2B-70408,12,7,2,3,0.2857142857142857,0.7142857142857143,1,Medium Risk
B2B-70465,13,5,2,3,0.4,0.6,0,High Risk
B2B-70481,12,7,1,7,0.14285714285714285,0.8571428571428572,1,Medium Risk
B2B-70586,6,2,1,7,0.5,0.5,0,High Risk
B2B-70880,12,3,1,3,0.3333333333333333,0.6666666666666667,0,High Risk
B2B-70992,10,2,0,7,0.0,1.0,3,Low Risk
B2B-70994,14,4,0,7,0.0,1.0,3,Low Risk
B2B-71281,11,6,1,3,0.16666666666666666,0.8333333333333334,1,Medium Risk
B2B-71321,13,9,2,7,0.2222222222222222,0.7777777777777778,1,Medium Risk
B2B-71568,5,2,0,3,0.0,1.0,3,Low Risk
B2B-71874,4,3,1,3,0.3333333333333333,0.6666666666666667,0,High Risk
B2B-71923,7,6,2,3,0.3333333333333333,0.6666666666666667,0,High Risk
B2B-72214,9,6,0,3,0.0,1.0,3,Low Risk
B2B-72219,9,2,0,7,0.0,1.0,3,Low Risk
B2B-72239,8,3,0,7,0.0,1.0,3,Low Risk
B2B-72466,11,5,2,3,0.4,0.6,0,High Risk
B2B-72474,11,6,0,7,0.0,1.0,3,Low Risk
B2B-72630,11,4,1,3,0.25,0.75,1,Medium Risk
B2B-72765,11,8,2,3,0.25,0.75,1,Medium Risk
B2B-72918,7,3,1,3,0.3333333333333333,0.6666666666666667,0,High Risk
B2B-73101,10,4,3,3,0.75,0.25,0,High Risk
B2B-73618,11,3,0,3,0.0,1.0,3,Low Risk
B2B-73752,15,7,2,7,0.2857142857142857,0.7142857142857143,1,Medium Risk
B2B-73790,11,3,0,3,0.0,1.0,3,Low Risk
B2B-74018,9,3,1,3,0.3333333333333333,0.6666666666666667,0,High Risk
B2B-74340,4,3,0,7,0.0,1.0,3,Low Risk
B2B-74684,10,6,1,3,0.16666666666666666,0.8333333333333334,1,Medium Risk
B2B-74692,13,6,2,3,0.3333333333333333,0.6666666666666667,0,High Risk
B2B-74695,11,6,3,3,0.5,0.5,0,High Risk
B2B-74836,11,4,2,3,0.5,0.5,0,High Risk
B2B-75299,13,3,0,3,0.0,1.0,3,Low Risk
B2B-75357,15,5,1,3,0.2,0.8,1,Medium Risk
B2B-75395,10,1,0,7,0.0,1.0,3,Low Risk
B2B-75594,11,6,4,3,0.6666666666666666,0.33333333333333337,0,High Risk
B2B-75641,16,6,0,3,0.0,1.0,3,Low Risk
B2B-75752,5,0,0,3,0.5,0.5,0,High Risk
B2B-760,13,6,1,3,0.16666666666666666,0.8333333333333334,1,Medium Risk
B2B-76032,10,6,1,3,0.16666666666666666,0.8333333333333334,1,Medium Risk
B2B-76315,13,7,2,3,0.2857142857142857,0.7142857142857143,1,Medium Risk
B2B-76363,14,6,3,7,0.5,0.5,0,High Risk
B2B-76411,9,7,0,3,0.0,1.0,3,Low Risk
B2B-76456,7,3,1,3,0.3333333333333333,0.6666666666666667,0,High Risk
B2B-76481,6,2,0,3,0.0,1.0,3,Low Risk
B2B-76983,7,3,0,7,0.0,1.0,3,Low Risk
B2B-77067,12,3,1,7,0.3333333333333333,0.6666666666666667,0,High Risk
B2B-77482,7,2,0,7,0.0,1.0,3,Low Risk
B2B-77562,13,3,0,7,0.0,1.0,3,Low Risk
B2B-77661,16,7,3,3,0.42857142857142855,0.5714285714285714,0,High Risk
B2B-77702,11,3,0,7,0.0,1.0,3,Low Risk
B2B-77707,13,3,1,3,0.3333333333333333,0.6666666666666667,0,High Risk
B2B-7824,12,6,4,3,0.6666666666666666,0.33333333333333337,0,High Risk
B2B-78279,6,1,0,3,0.0,1.0,3,Low Risk
B2B-78955,6,0,0,3,0.5,0.5,0,High Risk
B2B-79028,7,4,2,3,0.5,0.5,0,High Risk
B2B-79418,8,2,0,3,0.0,1.0,3,Low Risk
B2B-79534,14,6,1,3,0.16666666666666666,0.8333333333333334,1,Medium Risk
B2B-79642,15,8,3,3,0.375,0.625,0,High Risk
B2B-79786,9,5,1,7,0.2,0.8,1,Medium Risk
B2B-79866,6,1,0,3,0.0,1.0,3,Low Risk
B2B-80015,12,6,4,3,0.6666666666666666,0.33333333333333337,0,High Risk
B2B-80146,7,5,3,7,0.6,0.4,0,High Risk
B2B-80168,10,5,0,3,0.0,1.0,3,Low Risk
B2B-80380,20,9,3,3,0.3333333333333333,0.6666666666666667,0,High Risk
B2B-80489,8,3,1,3,0.3333333333333333,0.6666666666666667,0,High Risk
B2B-80845,11,6,1,7,0.16666666666666666,0.8333333333333334,1,Medium Risk
B2B-81277,11,7,1,3,0.14285714285714285,0.8571428571428572,1,Medium Risk
B2B-81420,9,1,1,3,1.0,0.0,0,High Risk
B2B-81641,4,3,1,3,0.3333333333333333,0.6666666666666667,0,High Risk
B2B-81896,6,3,1,3,0.3333333333333333,0.6666666666666667,0,High Risk
B2B-82260,10,7,0,7,0.0,1.0,3,Low Risk
B2B-824,14,5,0,7,0.0,1.0,3,Low Risk
B2B-82861,5,0,0,7,0.5,0.5,0,High Risk
B2B-83025,3,2,1,3,0.5,0.5,0,High Risk
B2B-83353,11,1,0,3,0.0,1.0,3,Low Risk
B2B-83416,13,5,0,3,0.0,1.0,3,Low Risk
B2B-83562,18,7,1,7,0.14285714285714285,0.8571428571428572,1,Medium Risk
B2B-83563,7,3,1,3,0.3333333333333333,0.6666666666666667,0,High Risk
B2B-83863,5,3,2,3,0.6666666666666666,0.33333333333333337,0,High Risk
B2B-83884,8,6,1,7,0.16666666666666666,0.8333333333333334,1,Medium Risk
B2B-83887,5,3,0,7,0.0,1.0,3,Low Risk
B2B-83901,10,5,2,3,0.4,0.6,0,High Risk
B2B-84058,6,4,2,3,0.5,0.5,0,High Risk
