Order_ID,Customer_ID,Order_Date,Required_Delivery_Date,Actual_Delivery_Date,Delay_Days,Shipping_Cost,Contract_Grace_Period_Days,Warehouse_Location,Distance_to_Warehouse_km,Is_Complained,Complaint_Reason
ORD-100020,B2B-33671,2025-08-17 12:42:13,2025-08-25 12:42:13,2025-08-23 12:42:13,-2,111.72,7,Brisbane,831.52,0.0,
ORD-100021,B2B-20126,2025-10-13 00:05:11,2025-10-25 00:05:11,2025-10-27 00:05:11,2,76.94,3,Brisbane,415.01,0.0,
ORD-100022,B2B-80168,2025-10-14 17:38:53,2025-10-27 17:38:53,2025-10-27 17:38:53,0,76.36,3,Brisbane,467.72,0.0,
ORD-100023,B2B-21541,2026-03-31 07:44:42,2026-04-14 07:44:42,2026-04-15 07:44:42,1,45.57,3,Adelaide,112.75,0.0,
ORD-100024,B2B-8713,2025-12-27 04:35:48,2026-01-10 04:35:48,2026-01-12 04:35:48,2,58.93,3,Perth,254.25,0.0,
ORD-100025,B2B-49876,2025-09-09 13:06:40,2025-09-21 13:06:40,2025-09-20 13:06:40,-1,58.88,3,Adelaide,216.16,0.0,
ORD-100026,B2B-81641,2025-09-28 08:31:30,2025-10-09 08:31:30,2025-10-12 08:31:30,3,59.79,3,Melbourne,298.87,0.0,
ORD-100027,B2B-70880,2025-12-22 01:13:30,2026-01-01 01:13:30,2026-01-03 01:13:30,2,76.27,3,Brisbane,644.27,0.0,
ORD-100028,B2B-2258,2025-09-06 06:16:29,2025-09-17 06:16:29,2025-09-18 06:16:29,1,74.05,3,Brisbane,331.68,0.0,
ORD-100029,B2B-27189,2026-02-04 02:03:50,2026-02-13 02:03:50,2026-02-10 02:03:50,-3,62.34,3,Brisbane,532.44,0.0,
ORD-100030,B2B-55930,2026-07-19 16:42:08,2026-07-29 16:42:08,2026-07-28 16:42:08,-1,60.2,3,Adelaide,264.74,0.0,
ORD-100031,B2B-24922,2026-01-02 11:56:35,2026-01-14 11:56:35,2026-01-14 11:56:35,0,95.99,7,Melbourne,637.48,0.0,
ORD-100032,B2B-33181,2025-11-20 00:08:02,2025-11-27 00:08:02,2025-11-27 00:08:02,0,62.2,3,Adelaide,257.39,0.0,
ORD-100033,B2B-46127,2026-04-13 06:21:47,2026-04-26 06:21:47,2026-04-27 06:21:47,1,67.75,3,Brisbane,494.33,0.0,
ORD-100034,B2B-6304,2026-04-05 11:13:58,2026-04-14 11:13:58,2026-04-15 11:13:58,1,73.82,3,Brisbane,299.5,0.0,
ORD-100035,B2B-26477,2026-01-07 19:57:58,2026-01-17 19:57:58,2026-01-17 19:57:58,0,64.92,3,Melbourne,267.63,0.0,
ORD-100036,B2B-41761,2025-11-09 22:02:24,2025-11-18 22:02:24,2025-11-19 22:02:24,1,84.79,3,Adelaide,248.81,0.0,
ORD-100037,B2B-45330,2026-01-01 21:00:00,2026-01-14 21:00:00,2026-01-11 21:00:00,-3,65.95,3,Brisbane,371.39,0.0,
ORD-100038,B2B-86465,2026-02-04 18:20:37,2026-02-15 18:20:37,2026-02-15 18:20:37,0,80.95,7,Brisbane,662.66,0.0,
ORD-100039,B2B-14205,2026-03-08 15:36:21,2026-03-22 15:36:21,2026-03-19 15:36:21,-3,59.98,7,Melbourne,93.91,0.0,
ORD-100040,B2B-55930,2025-09-14 07:29:01,2025-09-23 07:29:01,2025-09-24 07:29:01,1,78.51,3,Adelaide,264.74,0.0,
ORD-100041,B2B-75357,2025-08-01 17:52:43,2025-08-11 17:52:43,2025-08-12 17:52:43,1,84.38,3,Perth,507.79,0.0,
ORD-100042,B2B-6304,2026-07-27 05:44:14,2026-08-08 05:44:14,2026-08-08 05:44:14,0,63.29,3,Brisbane,299.5,0.0,
ORD-100043,B2B-33181,2025-11-13 07:43:40,2025-11-27 07:43:40,2025-11-27 07:43:40,0,58.2,3,Adelaide,257.39,0.0,
ORD-100044,B2B-26819,2026-01-12 01:35:33,2026-01-24 01:35:33,2026-01-24 01:35:33,0,77.87,7,Brisbane,325.12,0.0,
ORD-100045,B2B-21647,2026-05-05 23:57:31,2026-05-19 23:57:31,2026-05-20 23:57:31,1,80.55,3,Perth,378.29,1.0,Late Delivery
ORD-100046,B2B-52072,2026-05-25 10:28:20,2026-06-05 10:28:20,2026-06-08 10:28:20,3,89.86,7,Brisbane,696.94,0.0,
ORD-100047,B2B-91629,2026-05-16 10:57:25,2026-05-30 10:57:25,2026-05-31 10:57:25,1,88.02,3,Adelaide,222.93,0.0,
ORD-100048,B2B-76315,2026-06-22 03:38:30,2026-07-06 03:38:30,2026-07-05 03:38:30,-1,62.57,3,Melbourne,617.5,0.0,
ORD-100049,B2B-24999,2025-09-21 13:38:49,2025-10-04 13:38:49,2025-10-06 13:38:49,2,80.99,7,Melbourne,573.77,0.0,
ORD-100050,B2B-83884,2026-02-22 03:57:10,2026-03-06 03:57:10,2026-03-10 03:57:10,4,80.1,7,Perth,339.04,0.0,
ORD-100051,B2B-9933,2025-09-23 00:51:38,2025-09-30 00:51:38,2025-09-28 00:51:38,-2,73.73,7,Adelaide,318.11,0.0,
ORD-100052,B2B-86845,2026-07-24 14:55:13,2026-08-03 14:55:13,2026-08-03 14:55:13,0,51.48,3,Melbourne,198.3,0.0,
ORD-100053,B2B-39279,2025-10-28 07:33:38,2025-11-06 07:33:38,2025-11-07 07:33:38,1,62.44,7,Melbourne,220.21,0.0,
ORD-100054,B2B-69860,2025-10-27 06:50:13,2025-11-05 06:50:13,2025-11-05 06:50:13,0,98.41,3,Melbourne,629.23,0.0,
ORD-100055,B2B-59929,2026-02-14 02:29:05,2026-02-26 02:29:05,2026-02-26 02:29:05,0,55.45,3,Perth,145.95,0.0,
ORD-100056,B2B-4952,2026-05-21 16:00:26,2026-06-01 16:00:26,2026-05-31 16:00:26,-1,67.97,3,Brisbane,366.81,0.0,
ORD-100057,B2B-51328,2026-01-04 03:37:04,2026-01-13 03:37:04,2026-01-13 03:37:04,0,57.9,3,Brisbane,571.61,0.0,
ORD-100058,B2B-13933,2026-02-15 16:34:09,2026-02-27 16:34:09,2026-02-24 16:34:09,-3,70.88,3,Adelaide,265.59,0.0,
ORD-100059,B2B-19617,2025-12-15 18:05:16,2025-12-22 18:05:16,2025-12-22 18:05:16,0,70.48,7,Adelaide,408.26,0.0,
ORD-100060,B2B-38398,2026-07-25 05:39:14,2026-08-01 05:39:14,2026-08-01 05:39:14,0,72.98,3,Brisbane,610.12,0.0,
ORD-100061,B2B-33897,2025-09-02 01:12:12,2025-09-13 01:12:12,2025-09-14 01:12:12,1,105.1,7,Melbourne,555.88,0.0,
ORD-100062,B2B-83863,2025-09-25 23:49:28,2025-10-07 23:49:28,2025-10-07 23:49:28,0,67.92,3,Perth,224.08,0.0,
ORD-100063,B2B-6404,2026-04-02 00:09:07,2026-04-09 00:09:07,2026-04-08 00:09:07,-1,89.33,3,Brisbane,732.93,0.0,
ORD-100064,B2B-31915,2026-04-10 06:27:47,2026-04-19 06:27:47,2026-04-21 06:27:47,2,64.81,7,Perth,291.96,1.0,Late Delivery
ORD-100065,B2B-68087,2026-05-08 07:36:14,2026-05-22 07:36:14,2026-05-22 07:36:14,0,47.94,7,Adelaide,89.38,0.0,
ORD-100066,B2B-8713,2026-04-23 15:17:52,2026-05-07 15:17:52,2026-05-04 15:17:52,-3,46.87,3,Perth,254.25,0.0,
ORD-100067,B2B-39082,2025-08-16 01:11:26,2025-08-27 01:11:26,2025-08-29 01:11:26,2,79.71,3,Melbourne,287.99,0.0,
ORD-100068,B2B-37007,2025-12-28 04:33:13,2026-01-04 04:33:13,2026-01-04 04:33:13,0,69.94,3,Adelaide,369.48,0.0,
ORD-100069,B2B-19543,2025-09-19 19:02:41,2025-10-02 19:02:41,2025-10-02 19:02:41,0,56.88,7,Adelaide,260.58,0.0,
ORD-100070,B2B-33671,2025-08-31 01:28:40,2025-09-08 01:28:40,2025-09-08 01:28:40,0,82.66,7,Brisbane,831.52,0.0,
ORD-100071,B2B-96173,2026-07-10 22:25:24,2026-07-20 22:25:24,2026-07-19 22:25:24,-1,69.57,3,Melbourne,452.85,0.0,
ORD-100072,B2B-1563,2025-10-16 12:27:31,2025-10-30 12:27:31,2025-10-30 12:27:31,0,59.87,3,Adelaide,182.02,0.0,
ORD-100073,B2B-96003,2026-06-26 08:10:47,2026-07-05 08:10:47,2026-07-06 08:10:47,1,57.03,3,Melbourne,174.33,0.0,
ORD-100074,B2B-10603,2025-10-18 20:23:33,2025-10-29 20:23:33,2025-10-27 20:23:33,-2,103.72,3,Brisbane,792.16,0.0,
ORD-100075,B2B-73618,2025-11-11 12:34:18,2025-11-22 12:34:18,2025-11-22 12:34:18,0,70.77,3,Perth,263.71,0.0,
ORD-100076,B2B-96462,2026-03-10 12:00:49,2026-03-19 12:00:49,2026-03-18 12:00:49,-1,62.22,3,Brisbane,172.15,0.0,
ORD-100077,B2B-66471,2026-01-31 08:53:36,2026-02-11 08:53:36,2026-02-11 08:53:36,0,65.42,3,Brisbane,457.4,0.0,
ORD-100078,B2B-89899,2025-11-03 09:27:47,2025-11-11 09:27:47,2025-11-11 09:27:47,0,78.85,3,Brisbane,618.63,0.0,
ORD-100079,B2B-42372,2025-08-28 11:42:51,2025-09-06 11:42:51,2025-09-12 11:42:51,6,60.45,3,Melbourne,306.08,1.0,Late Delivery
ORD-100080,B2B-4727,2026-02-18 17:43:36,2026-03-01 17:43:36,2026-03-02 17:43:36,1,70.72,7,Adelaide,619.93,1.0,Late Delivery
ORD-100081,B2B-20315,2026-01-31 21:11:43,2026-02-07 21:11:43,2026-02-08 21:11:43,1,67.5,3,Perth,92.54,1.0,Late Delivery
ORD-100082,B2B-26477,2025-10-15 13:15:34,2025-10-26 13:15:34,2025-10-25 13:15:34,-1,81.13,3,Melbourne,267.63,0.0,
ORD-100083,B2B-25749,2026-05-14 16:01:52,2026-05-25 16:01:52,2026-05-24 16:01:52,-1,49.69,7,Perth,212.64,0.0,
ORD-100084,B2B-17740,2025-10-08 04:29:11,2025-10-20 04:29:11,2025-10-23 04:29:11,3,55.62,3,Perth,162.38,0.0,
ORD-100085,B2B-97825,2026-01-13 23:21:26,2026-01-22 23:21:26,2026-01-18 23:21:26,-4,61.65,3,Brisbane,371.6,0.0,
ORD-100086,B2B-46372,2025-12-25 16:05:48,2026-01-08 16:05:48,2026-01-12 16:05:48,4,75.8,3,Melbourne,848.56,1.0,Late Delivery
ORD-100087,B2B-31506,2025-11-11 11:53:18,2025-11-21 11:53:18,2025-11-19 11:53:18,-2,104.93,7,Brisbane,802.14,0.0,
ORD-100088,B2B-72630,2026-02-02 05:35:30,2026-02-12 05:35:30,2026-02-10 05:35:30,-2,50.55,3,Brisbane,54.03,0.0,
ORD-100089,B2B-36771,2025-09-01 10:04:58,2025-09-08 10:04:58,2025-09-06 10:04:58,-2,67.86,3,Brisbane,443.33,0.0,
ORD-100090,B2B-13496,2026-03-19 10:20:33,2026-03-27 10:20:33,2026-03-30 10:20:33,3,84.18,3,Melbourne,404.5,0.0,
ORD-100091,B2B-72474,2025-09-23 06:22:27,2025-10-06 06:22:27,2025-10-06 06:22:27,0,76.06,7,Melbourne,663.97,0.0,
ORD-100092,B2B-55636,2026-04-25 18:50:00,2026-05-02 18:50:00,2026-05-04 18:50:00,2,71.31,7,Adelaide,103.07,0.0,
ORD-100093,B2B-9412,2025-10-01 02:58:49,2025-10-15 02:58:49,2025-10-19 02:58:49,4,63.04,3,Perth,353.19,1.0,Late Delivery
ORD-100094,B2B-77067,2026-04-04 16:12:16,2026-04-12 16:12:16,2026-04-12 16:12:16,0,66.0,7,Melbourne,322.91,0.0,
ORD-100095,B2B-41178,2025-09-01 09:38:43,2025-09-10 09:38:43,2025-09-10 09:38:43,0,60.31,3,Perth,124.26,0.0,
ORD-100096,B2B-19402,2026-06-28 07:02:31,2026-07-10 07:02:31,2026-07-10 07:02:31,0,56.25,7,Brisbane,198.91,0.0,
ORD-100097,B2B-52689,2025-08-18 20:02:28,2025-08-27 20:02:28,2025-08-23 20:02:28,-4,78.61,3,Melbourne,643.13,0.0,
ORD-100098,B2B-28602,2026-07-30 10:35:39,2026-08-07 10:35:39,2026-08-08 10:35:39,1,57.82,3,Melbourne,223.1,0.0,
ORD-100099,B2B-22162,2025-10-05 19:52:32,2025-10-13 19:52:32,2025-10-10 19:52:32,-3,48.29,3,Melbourne,263.03,0.0,
ORD-100100,B2B-19407,2025-09-01 23:40:12,2025-09-13 23:40:12,2025-09-11 23:40:12,-2,66.84,3,Perth,308.14,0.0,
ORD-100101,B2B-55636,2025-12-02 01:25:36,2025-12-13 01:25:36,2025-12-16 01:25:36,3,57.66,7,Adelaide,103.07,0.0,
ORD-100102,B2B-53943,2026-06-11 19:51:58,2026-06-24 19:51:58,2026-06-20 19:51:58,-4,77.02,3,Melbourne,648.98,0.0,
ORD-100103,B2B-51091,2026-05-30 14:03:49,2026-06-10 14:03:49,2026-06-08 14:03:49,-2,72.99,3,Melbourne,632.83,0.0,
ORD-100104,B2B-96332,2026-06-27 22:42:00,2026-07-06 22:42:00,2026-07-02 22:42:00,-4,72.3,3,Brisbane,296.44,0.0,
ORD-100105,B2B-58025,2026-06-27 13:47:37,2026-07-10 13:47:37,2026-07-10 13:47:37,0,55.61,3,Melbourne,333.8,0.0,
ORD-100106,B2B-42595,2026-03-18 06:18:53,2026-03-26 06:18:53,2026-03-21 06:18:53,-5,65.34,3,Melbourne,363.92,0.0,
ORD-100107,B2B-16615,2026-07-03 20:20:20,2026-07-12 20:20:20,2026-07-13 20:20:20,1,76.67,3,Brisbane,353.55,0.0,
ORD-100108,B2B-46396,2026-04-27 04:22:54,2026-05-11 04:22:54,2026-05-09 04:22:54,-2,67.54,7,Adelaide,251.37,0.0,
ORD-100109,B2B-33897,2026-07-27 22:04:02,2026-08-10 22:04:02,2026-08-10 22:04:02,0,72.12,7,Melbourne,555.88,0.0,
ORD-100110,B2B-99501,2026-07-24 20:03:21,2026-08-05 20:03:21,2026-08-06 20:03:21,1,86.83,3,Melbourne,643.12,0.0,
ORD-100111,B2B-1245,2026-03-09 19:04:03,2026-03-22 19:04:03,2026-03-22 19:04:03,0,83.42,3,Brisbane,612.32,0.0,
ORD-100112,B2B-72918,2025-08-24 09:20:29,2025-09-07 09:20:29,2025-09-08 09:20:29,1,55.4,3,Brisbane,181.99,0.0,
ORD-100113,B2B-699,2025-09-08 21:21:34,2025-09-20 21:21:34,2025-09-20 21:21:34,0,53.88,3,Melbourne,312.08,0.0,
ORD-100114,B2B-80380,2026-02-01 14:13:58,2026-02-11 14:13:58,2026-02-14 14:13:58,3,76.78,3,Adelaide,545.83,0.0,
ORD-100115,B2B-30067,2025-08-18 05:01:09,2025-08-26 05:01:09,2025-09-02 05:01:09,7,48.05,7,Brisbane,209.94,1.0,Late Delivery
ORD-100116,B2B-35219,2025-12-03 12:25:09,2025-12-17 12:25:09,2025-12-22 12:25:09,5,52.97,3,Adelaide,290.88,1.0,Late Delivery
ORD-100117,B2B-73101,2026-02-10 15:57:46,2026-02-17 15:57:46,2026-02-21 15:57:46,4,70.42,3,Melbourne,574.65,1.0,Late Delivery
ORD-100118,B2B-86465,2025-10-31 12:22:34,2025-11-12 12:22:34,2025-11-07 12:22:34,-5,66.01,7,Brisbane,662.66,0.0,
ORD-100119,B2B-69353,2025-12-01 01:55:37,2025-12-14 01:55:37,2025-12-16 01:55:37,2,57.84,3,Brisbane,80.41,1.0,Late Delivery
ORD-100120,B2B-17750,2026-05-10 22:28:00,2026-05-24 22:28:00,2026-05-22 22:28:00,-2,51.03,3,Perth,179.54,0.0,
ORD-100121,B2B-88385,2026-06-10 01:34:17,2026-06-22 01:34:17,2026-06-24 01:34:17,2,69.81,3,Melbourne,238.32,0.0,
ORD-100122,B2B-12172,2026-06-12 00:11:09,2026-06-23 00:11:09,2026-06-29 00:11:09,6,79.57,7,Brisbane,499.33,0.0,
ORD-100123,B2B-51284,2025-09-02 11:11:37,2025-09-16 11:11:37,2025-09-16 11:11:37,0,70.46,3,Perth,206.47,0.0,
ORD-100124,B2B-18051,2026-05-23 06:52:21,2026-06-06 06:52:21,2026-06-10 06:52:21,4,81.72,3,Melbourne,606.19,1.0,Late Delivery
ORD-100125,B2B-17750,2026-07-29 07:31:40,2026-08-07 07:31:40,2026-08-07 07:31:40,0,55.41,3,Perth,179.54,0.0,
ORD-100126,B2B-6404,2025-12-22 17:10:27,2025-12-29 17:10:27,2025-12-30 17:10:27,1,88.1,3,Brisbane,732.93,0.0,
ORD-100127,B2B-18051,2025-11-26 07:01:51,2025-12-04 07:01:51,2025-12-04 07:01:51,0,71.58,3,Melbourne,606.19,0.0,
ORD-100128,B2B-96058,2026-04-03 12:10:55,2026-04-15 12:10:55,2026-04-17 12:10:55,2,49.55,7,Melbourne,216.57,0.0,
ORD-100129,B2B-79534,2025-12-25 18:31:06,2026-01-06 18:31:06,2026-01-07 18:31:06,1,43.88,3,Melbourne,248.84,0.0,
ORD-100130,B2B-60586,2026-07-15 15:58:11,2026-07-25 15:58:11,2026-07-30 15:58:11,5,93.64,3,Brisbane,738.48,1.0,Late Delivery
ORD-100131,B2B-36364,2025-09-06 03:35:56,2025-09-17 03:35:56,2025-09-16 03:35:56,-1,75.89,3,Brisbane,450.6,0.0,
ORD-100132,B2B-69860,2025-12-15 06:11:38,2025-12-23 06:11:38,2025-12-23 06:11:38,0,65.28,3,Melbourne,629.23,0.0,
ORD-100133,B2B-40178,2026-01-29 02:22:29,2026-02-06 02:22:29,2026-02-08 02:22:29,2,77.09,3,Melbourne,294.57,1.0,Late Delivery
ORD-100134,B2B-84692,2026-02-19 22:53:58,2026-03-01 22:53:58,2026-03-01 22:53:58,0,94.42,3,Melbourne,682.93,0.0,
ORD-100135,B2B-17434,2026-06-29 07:33:02,2026-07-11 07:33:02,2026-07-11 07:33:02,0,71.65,3,Brisbane,572.59,0.0,
ORD-100136,B2B-80845,2025-09-03 10:43:04,2025-09-14 10:43:04,2025-09-17 10:43:04,3,72.08,7,Brisbane,385.64,0.0,
ORD-100137,B2B-4952,2026-02-12 10:24:56,2026-02-19 10:24:56,2026-02-19 10:24:56,0,54.51,3,Brisbane,366.81,0.0,
ORD-100138,B2B-1715,2026-04-04 04:46:48,2026-04-16 04:46:48,2026-04-17 04:46:48,1,57.58,7,Melbourne,321.45,0.0,
ORD-100139,B2B-70116,2025-08-22 09:32:24,2025-09-03 09:32:24,2025-09-06 09:32:24,3,62.6,7,Brisbane,289.27,0.0,
ORD-100140,B2B-93833,2025-11-12 05:21:56,2025-11-22 05:21:56,2025-11-23 05:21:56,1,93.11,3,Brisbane,418.51,0.0,
ORD-100141,B2B-34548,2025-08-07 18:45:08,2025-08-17 18:45:08,2025-08-16 18:45:08,-1,72.97,7,Melbourne,666.29,0.0,
ORD-100142,B2B-18191,2025-11-02 02:28:00,2025-11-14 02:28:00,2025-11-12 02:28:00,-2,63.65,3,Adelaide,239.43,0.0,
ORD-100143,B2B-55596,2025-09-17 23:08:09,2025-09-30 23:08:09,2025-09-29 23:08:09,-1,67.43,3,Brisbane,37.19,0.0,
ORD-100144,B2B-84692,2026-06-16 06:57:26,2026-06-28 06:57:26,2026-06-26 06:57:26,-2,93.51,3,Melbourne,682.93,0.0,
ORD-100145,B2B-65084,2026-05-29 19:01:29,2026-06-11 19:01:29,2026-06-12 19:01:29,1,70.23,7,Brisbane,218.58,0.0,
ORD-100146,B2B-32334,2026-02-08 02:02:13,2026-02-20 02:02:13,2026-02-20 02:02:13,0,83.85,3,Perth,496.63,0.0,
ORD-100147,B2B-9589,2026-01-07 20:23:14,2026-01-14 20:23:14,2026-01-15 20:23:14,1,80.59,3,Brisbane,646.64,1.0,Late Delivery
ORD-100148,B2B-75594,2025-09-01 20:49:13,2025-09-12 20:49:13,2025-09-12 20:49:13,0,51.34,3,Perth,237.46,0.0,
ORD-100149,B2B-69860,2025-10-04 00:55:41,2025-10-14 00:55:41,2025-10-17 00:55:41,3,82.98,3,Melbourne,629.23,0.0,
ORD-100150,B2B-31915,2025-12-24 13:20:54,2026-01-04 13:20:54,2025-12-31 13:20:54,-4,52.71,7,Perth,291.96,0.0,
ORD-100151,B2B-36771,2026-02-25 03:27:49,2026-03-07 03:27:49,2026-03-06 03:27:49,-1,75.58,3,Brisbane,443.33,0.0,
ORD-100152,B2B-49044,2026-07-29 15:50:33,2026-08-06 15:50:33,2026-08-08 15:50:33,2,84.21,7,Brisbane,662.08,0.0,
ORD-100153,B2B-62271,2026-03-17 06:46:34,2026-03-31 06:46:34,2026-03-30 06:46:34,-1,68.52,7,Melbourne,288.22,0.0,
ORD-100154,B2B-47887,2026-04-13 06:50:44,2026-04-24 06:50:44,2026-04-24 06:50:44,0,73.07,3,Brisbane,421.59,0.0,
ORD-100155,B2B-7824,2026-01-24 22:16:41,2026-02-03 22:16:41,2026-02-04 22:16:41,1,72.14,3,Brisbane,603.55,0.0,
ORD-100156,B2B-1715,2026-07-29 17:32:15,2026-08-10 17:32:15,2026-08-10 17:32:15,0,48.66,7,Melbourne,321.45,0.0,
ORD-100157,B2B-73790,2026-05-14 20:14:29,2026-05-24 20:14:29,2026-05-19 20:14:29,-5,67.42,3,Melbourne,354.4,0.0,
ORD-100158,B2B-24203,2025-11-26 08:19:13,2025-12-05 08:19:13,2025-12-02 08:19:13,-3,55.73,3,Brisbane,156.46,0.0,
ORD-100159,B2B-57770,2026-03-18 12:44:24,2026-03-27 12:44:24,2026-03-27 12:44:24,0,68.47,3,Perth,398.92,0.0,
ORD-100160,B2B-56564,2025-09-01 17:54:10,2025-09-12 17:54:10,2025-09-14 17:54:10,2,56.22,7,Adelaide,188.33,0.0,
ORD-100161,B2B-80015,2026-01-01 07:42:17,2026-01-09 07:42:17,2026-01-10 07:42:17,1,47.03,3,Perth,168.28,0.0,
ORD-100162,B2B-8853,2026-05-20 23:43:42,2026-06-01 23:43:42,2026-06-01 23:43:42,0,75.27,7,Melbourne,432.38,0.0,
ORD-100163,B2B-29290,2026-07-29 15:19:02,2026-08-11 15:19:02,2026-08-08 15:19:02,-3,95.16,7,Melbourne,739.67,0.0,
ORD-100164,B2B-91629,2025-11-24 06:20:48,2025-12-08 06:20:48,2025-12-11 06:20:48,3,69.25,3,Adelaide,222.93,0.0,
ORD-100165,B2B-96462,2026-07-17 04:47:20,2026-07-29 04:47:20,2026-07-27 04:47:20,-2,75.03,3,Brisbane,172.15,0.0,
ORD-100166,B2B-74684,2026-04-20 23:35:44,2026-05-02 23:35:44,2026-05-03 23:35:44,1,75.95,3,Brisbane,548.73,0.0,
ORD-100167,B2B-2258,2026-07-19 14:29:10,2026-07-28 14:29:10,2026-07-28 14:29:10,0,64.96,3,Brisbane,331.68,0.0,
ORD-100168,B2B-80845,2025-10-24 16:35:28,2025-11-05 16:35:28,2025-11-02 16:35:28,-3,70.47,7,Brisbane,385.64,0.0,
ORD-100169,B2B-97179,2026-04-26 15:23:06,2026-05-04 15:23:06,2026-05-04 15:23:06,0,68.39,3,Melbourne,566.59,0.0,
ORD-100170,B2B-97673,2025-08-23 05:53:19,2025-09-01 05:53:19,2025-09-03 05:53:19,2,59.18,3,Melbourne,665.56,1.0,Late Delivery
ORD-100171,B2B-77661,2026-01-13 19:32:56,2026-01-23 19:32:56,2026-01-23 19:32:56,0,90.0,3,Melbourne,852.66,0.0,
ORD-100172,B2B-41342,2025-08-23 21:59:37,2025-08-31 21:59:37,2025-09-04 21:59:37,4,64.55,3,Adelaide,247.72,1.0,Late Delivery
ORD-100173,B2B-16185,2026-07-26 18:41:23,2026-08-08 18:41:23,2026-08-09 18:41:23,1,62.5,3,Melbourne,106.42,0.0,
ORD-100174,B2B-26559,2026-06-18 22:24:45,2026-06-28 22:24:45,2026-06-28 22:24:45,0,72.43,7,Melbourne,410.2,0.0,
ORD-100175,B2B-27189,2026-05-26 14:20:34,2026-06-08 14:20:34,2026-06-08 14:20:34,0,92.11,3,Brisbane,532.44,0.0,
ORD-100176,B2B-81896,2026-06-22 11:16:19,2026-06-29 11:16:19,2026-07-01 11:16:19,2,47.44,3,Brisbane,219.03,0.0,
ORD-100177,B2B-65412,2025-12-19 18:49:14,2025-12-29 18:49:14,2025-12-29 18:49:14,0,70.88,3,Adelaide,368.85,0.0,
ORD-100178,B2B-62271,2026-07-13 14:37:12,2026-07-27 14:37:12,2026-07-22 14:37:12,-5,55.05,7,Melbourne,288.22,0.0,
