Order_ID,Customer_ID,Distance_to_Warehouse_km,Contract_Grace_Period_Days,Lead_Time_Allowed,Is_Weekend_Deadline,Shipping_Cost,Delay_Days,Days_Beyond_Grace,Is_Late_Complaint
ORD-100057,B2B-51328,571.61,3,9,0,57.9,0,0,0
ORD-100058,B2B-13933,265.59,3,12,0,70.88,-3,0,0
ORD-100059,B2B-19617,408.26,7,7,0,70.48,0,0,0
ORD-100060,B2B-38398,610.12,3,7,1,72.98,0,0,0
ORD-100061,B2B-33897,555.88,7,11,1,105.1,1,0,0
ORD-100062,B2B-83863,224.08,3,12,0,67.92,0,0,0
ORD-100063,B2B-6404,732.93,3,7,0,89.33,-1,0,0
ORD-100064,B2B-31915,291.96,7,9,1,64.81,2,0,1
ORD-100065,B2B-68087,89.38,7,14,0,47.94,0,0,0
ORD-100066,B2B-8713,254.25,3,14,0,46.87,-3,0,0
ORD-100067,B2B-39082,287.99,3,11,0,79.71,2,0,0
ORD-100068,B2B-37007,369.48,3,7,1,69.94,0,0,0
ORD-100069,B2B-19543,260.58,7,13,0,56.88,0,0,0
ORD-100070,B2B-33671,831.52,7,8,0,82.66,0,0,0
ORD-100071,B2B-96173,452.85,3,10,0,69.57,-1,0,0
ORD-100072,B2B-1563,182.02,3,14,0,59.87,0,0,0
ORD-100073,B2B-96003,174.33,3,9,1,57.03,1,0,0
ORD-100074,B2B-10603,792.16,3,11,0,103.72,-2,0,0
ORD-100075,B2B-73618,263.71,3,11,1,70.77,0,0,0
ORD-100076,B2B-96462,172.15,3,9,0,62.22,-1,0,0
ORD-100077,B2B-66471,457.4,3,11,0,65.42,0,0,0
ORD-100078,B2B-89899,618.63,3,8,0,78.85,0,0,0
ORD-100079,B2B-42372,306.08,3,9,1,60.45,6,3,1
ORD-100080,B2B-4727,619.93,7,11,1,70.72,1,0,1
ORD-100081,B2B-20315,92.54,3,7,1,67.5,1,0,1
ORD-100082,B2B-26477,267.63,3,11,1,81.13,-1,0,0
ORD-100083,B2B-25749,212.64,7,11,0,49.69,-1,0,0
ORD-100084,B2B-17740,162.38,3,12,0,55.62,3,0,0
ORD-100085,B2B-97825,371.6,3,9,0,61.65,-4,0,0
ORD-100086,B2B-46372,848.56,3,14,0,75.8,4,1,1
ORD-100087,B2B-31506,802.14,7,10,0,104.93,-2,0,0
ORD-100088,B2B-72630,54.03,3,10,0,50.55,-2,0,0
ORD-100089,B2B-36771,443.33,3,7,0,67.86,-2,0,0
ORD-100090,B2B-13496,404.5,3,8,0,84.18,3,0,0
ORD-100091,B2B-72474,663.97,7,13,0,76.06,0,0,0
ORD-100092,B2B-55636,103.07,7,7,1,71.31,2,0,0
ORD-100093,B2B-9412,353.19,3,14,0,63.04,4,1,1
ORD-100094,B2B-77067,322.91,7,8,1,66.0,0,0,0
ORD-100095,B2B-41178,124.26,3,9,0,60.31,0,0,0
ORD-100096,B2B-19402,198.91,7,12,0,56.25,0,0,0
ORD-100097,B2B-52689,643.13,3,9,0,78.61,-4,0,0
ORD-100098,B2B-28602,223.1,3,8,0,57.82,1,0,0
ORD-100099,B2B-22162,263.03,3,8,0,48.29,-3,0,0
ORD-100100,B2B-19407,308.14,3,12,1,66.84,-2,0,0
ORD-100101,B2B-55636,103.07,7,11,1,57.66,3,0,0
ORD-100102,B2B-53943,648.98,3,13,0,77.02,-4,0,0
ORD-100103,B2B-51091,632.83,3,11,0,72.99,-2,0,0
ORD-100104,B2B-96332,296.44,3,9,0,72.3,-4,0,0
ORD-100105,B2B-58025,333.8,3,13,0,55.61,0,0,0
ORD-100106,B2B-42595,363.92,3,8,0,65.34,-5,0,0
ORD-100107,B2B-16615,353.55,3,9,1,76.67,1,0,0
ORD-100108,B2B-46396,251.37,7,14,0,67.54,-2,0,0
ORD-100109,B2B-33897,555.88,7,14,0,72.12,0,0,0
ORD-100110,B2B-99501,643.12,3,12,0,86.83,1,0,0
ORD-100111,B2B-1245,612.32,3,13,1,83.42,0,0,0
ORD-100112,B2B-72918,181.99,3,14,1,55.4,1,0,0
ORD-100113,B2B-699,312.08,3,12,1,53.88,0,0,0
ORD-100114,B2B-80380,545.83,3,10,0,76.78,3,0,0
ORD-100115,B2B-30067,209.94,7,8,0,48.05,7,0,1
ORD-100116,B2B-35219,290.88,3,14,0,52.97,5,2,1
ORD-100117,B2B-73101,574.65,3,7,0,70.42,4,1,1
ORD-100118,B2B-86465,662.66,7,12,0,66.01,-5,0,0
ORD-100119,B2B-69353,80.41,3,13,1,57.84,2,0,1
ORD-100120,B2B-17750,179.54,3,14,1,51.03,-2,0,0
ORD-100121,B2B-88385,238.32,3,12,0,69.81,2,0,0
ORD-100122,B2B-12172,499.33,7,11,0,79.57,6,0,0
ORD-100123,B2B-51284,206.47,3,14,0,70.46,0,0,0
ORD-100124,B2B-18051,606.19,3,14,1,81.72,4,1,1
ORD-100125,B2B-17750,179.54,3,9,0,55.41,0,0,0
ORD-100126,B2B-6404,732.93,3,7,0,88.1,1,0,0
ORD-100127,B2B-18051,606.19,3,8,0,71.58,0,0,0
ORD-100128,B2B-96058,216.57,7,12,0,49.55,2,0,0
ORD-100129,B2B-79534,248.84,3,12,0,43.88,1,0,0
ORD-100130,B2B-60586,738.48,3,10,1,93.64,5,2,1
ORD-100131,B2B-36364,450.6,3,11,0,75.89,-1,0,0
ORD-100132,B2B-69860,629.23,3,8,0,65.28,0,0,0
ORD-100133,B2B-40178,294.57,3,8,0,77.09,2,0,1
ORD-100134,B2B-84692,682.93,3,10,1,94.42,0,0,0
ORD-100135,B2B-17434,572.59,3,12,1,71.65,0,0,0
ORD-100136,B2B-80845,385.64,7,11,1,72.08,3,0,0
ORD-100137,B2B-4952,366.81,3,7,0,54.51,0,0,0
ORD-100138,B2B-1715,321.45,7,12,0,57.58,1,0,0
ORD-100139,B2B-70116,289.27,7,12,0,62.6,3,0,0
ORD-100140,B2B-93833,418.51,3,10,1,93.11,1,0,0
ORD-100141,B2B-34548,666.29,7,10,1,72.97,-1,0,0
ORD-100142,B2B-18191,239.43,3,12,0,63.65,-2,0,0
ORD-100143,B2B-55596,37.19,3,13,0,67.43,-1,0,0
ORD-100144,B2B-84692,682.93,3,12,1,93.51,-2,0,0
ORD-100145,B2B-65084,218.58,7,13,0,70.23,1,0,0
ORD-100146,B2B-32334,496.63,3,12,0,83.85,0,0,0
ORD-100147,B2B-9589,646.64,3,7,0,80.59,1,0,1
ORD-100148,B2B-75594,237.46,3,11,0,51.34,0,0,0
ORD-100149,B2B-69860,629.23,3,10,0,82.98,3,0,0
ORD-100150,B2B-31915,291.96,7,11,1,52.71,-4,0,0
ORD-100151,B2B-36771,443.33,3,10,1,75.58,-1,0,0
ORD-100152,B2B-49044,662.08,7,8,0,84.21,2,0,0
ORD-100153,B2B-62271,288.22,7,14,0,68.52,-1,0,0
ORD-100154,B2B-47887,421.59,3,11,0,73.07,0,0,0
ORD-100155,B2B-7824,603.55,3,10,0,72.14,1,0,0
ORD-100156,B2B-1715,321.45,7,12,0,48.66,0,0,0
ORD-100157,B2B-73790,354.4,3,10,1,67.42,-5,0,0
ORD-100158,B2B-24203,156.46,3,9,0,55.73,-3,0,0
ORD-100159,B2B-57770,398.92,3,9,0,68.47,0,0,0
ORD-100160,B2B-56564,188.33,7,11,0,56.22,2,0,0
ORD-100161,B2B-80015,168.28,3,8,0,47.03,1,0,0
ORD-100162,B2B-8853,432.38,7,12,0,75.27,0,0,0
ORD-100163,B2B-29290,739.67,7,13,0,95.16,-3,0,0
ORD-100164,B2B-91629,222.93,3,14,0,69.25,3,0,0
ORD-100165,B2B-96462,172.15,3,12,0,75.03,-2,0,0
ORD-100166,B2B-74684,548.73,3,12,1,75.95,1,0,0
ORD-100167,B2B-2258,331.68,3,9,0,64.96,0,0,0
ORD-100168,B2B-80845,385.64,7,12,0,70.47,-3,0,0
ORD-100169,B2B-97179,566.59,3,8,0,68.39,0,0,0
ORD-100170,B2B-97673,665.56,3,9,0,59.18,2,0,1
ORD-100171,B2B-77661,852.66,3,10,0,90.0,0,0,0
ORD-100172,B2B-41342,247.72,3,8,1,64.55,4,1,1
ORD-100173,B2B-16185,106.42,3,13,1,62.5,1,0,0
ORD-100174,B2B-26559,410.2,7,10,1,72.43,0,0,0
ORD-100175,B2B-27189,532.44,3,13,0,92.11,0,0,0
ORD-100176,B2B-81896,219.03,3,7,0,47.44,2,0,0
ORD-100177,B2B-65412,368.85,3,10,0,70.88,0,0,0
ORD-100178,B2B-62271,288.22,7,14,0,55.05,-5,0,0
ORD-100179,B2B-43323,593.06,7,14,0,63.22,0,0,0
ORD-100180,B2B-85628,299.31,7,10,0,64.55,-1,0,0
ORD-100181,B2B-72214,211.97,3,14,0,62.91,0,0,0
ORD-100182,B2B-74018,437.58,3,14,0,65.38,0,0,0
ORD-100183,B2B-55596,37.19,3,8,1,48.68,0,0,0
ORD-100184,B2B-62355,200.8,3,7,1,74.17,1,0,0
ORD-100185,B2B-57426,498.84,7,11,1,86.34,1,0,0
ORD-100186,B2B-11848,509.37,3,13,0,83.95,-2,0,0
ORD-100187,B2B-65084,218.58,7,13,0,65.59,0,0,0
ORD-100188,B2B-6754,533.44,3,7,0,82.87,1,0,0
ORD-100189,B2B-54971,147.06,7,8,0,78.25,-1,0,0
ORD-100190,B2B-93833,418.51,3,7,0,76.77,0,0,0
ORD-100191,B2B-76363,555.75,7,14,0,77.86,6,0,1
ORD-100192,B2B-11435,298.71,7,12,0,58.76,2,0,0
ORD-100193,B2B-39539,614.75,3,12,1,96.07,-5,0,0
ORD-100194,B2B-76456,487.84,3,9,0,62.07,0,0,0
ORD-100195,B2B-6337,362.09,7,11,0,73.99,0,0,0
ORD-100196,B2B-21097,138.29,3,7,0,60.23,0,0,0
ORD-100197,B2B-69254,391.86,7,11,1,55.96,5,0,1
ORD-100198,B2B-28109,53.68,7,12,1,53.1,0,0,0
ORD-100199,B2B-30729,556.38,3,10,1,78.01,1,0,0
ORD-100200,B2B-74836,437.22,3,14,0,59.43,0,0,0
ORD-100201,B2B-2773,223.95,3,10,1,48.26,1,0,0
ORD-100202,B2B-54897,287.59,3,7,0,52.35,0,0,0
ORD-100203,B2B-84982,168.92,3,11,1,58.44,0,0,0
ORD-100204,B2B-41054,470.71,7,10,0,71.46,2,0,0
ORD-100205,B2B-35688,329.31,7,13,1,72.51,-2,0,0
ORD-100206,B2B-2258,331.68,3,14,0,73.73,1,0,0
ORD-100207,B2B-20421,718.6,3,12,1,85.27,0,0,0
ORD-100208,B2B-97825,371.6,3,10,0,71.97,-1,0,0
ORD-100209,B2B-14205,93.91,7,12,0,52.88,1,0,0
ORD-100210,B2B-44847,130.12,7,7,0,40.47,-2,0,0
ORD-100211,B2B-52738,826.49,3,12,0,101.4,-4,0,0
ORD-100212,B2B-77562,194.73,7,11,0,43.94,1,0,0
ORD-100213,B2B-20421,718.6,3,8,0,93.24,-2,0,0
ORD-100214,B2B-52106,665.15,3,8,0,83.58,-3,0,0
ORD-100215,B2B-36874,580.4,3,11,0,85.88,0,0,0
ORD-100216,B2B-17520,74.84,7,10,0,73.58,-3,0,0
ORD-100217,B2B-15993,270.48,3,11,1,64.57,4,1,1
ORD-100218,B2B-11521,26.15,3,11,0,48.4,1,0,0
ORD-100219,B2B-84098,156.59,7,8,0,67.05,0,0,0
ORD-100220,B2B-43323,593.06,7,13,0,44.94,0,0,0
ORD-100221,B2B-92368,113.13,3,11,0,59.29,-2,0,0
ORD-100222,B2B-24922,637.48,7,14,0,86.31,0,0,0
ORD-100223,B2B-29283,334.32,3,10,1,63.06,1,0,0
ORD-100224,B2B-20130,297.52,7,9,1,77.01,-1,0,0
ORD-100225,B2B-56126,432.51,3,9,0,84.1,-6,0,0
ORD-100226,B2B-21862,673.76,3,14,1,81.89,1,0,0
ORD-100227,B2B-16506,422.23,3,12,0,95.46,4,1,1
ORD-100228,B2B-46396,251.37,7,10,1,62.91,-1,0,0
ORD-100229,B2B-73752,578.14,7,14,0,68.68,-1,0,0
ORD-100230,B2B-43127,363.12,7,10,0,56.67,2,0,0
ORD-100231,B2B-2144,421.59,7,7,0,82.42,0,0,0
ORD-100232,B2B-47208,563.28,3,12,0,68.35,3,0,1
ORD-100233,B2B-3380,113.43,3,9,0,44.32,0,0,0
ORD-100234,B2B-53943,648.98,3,13,0,96.67,-1,0,0
ORD-100235,B2B-6492,348.96,3,14,0,69.73,-1,0,0
ORD-100236,B2B-67244,698.62,3,8,0,90.16,-1,0,0
ORD-100237,B2B-824,210.68,7,12,0,61.59,1,0,0
ORD-100238,B2B-87571,271.95,3,12,0,48.57,1,0,1
ORD-100239,B2B-71281,295.12,3,13,0,72.79,2,0,0
ORD-100240,B2B-46127,494.33,3,7,0,105.82,5,2,1
ORD-100241,B2B-10589,206.53,7,7,1,70.28,2,0,0
ORD-100242,B2B-53943,648.98,3,12,0,87.43,1,0,0
ORD-100243,B2B-30703,215.86,3,11,1,67.56,0,0,0
ORD-100244,B2B-469,568.96,7,7,0,67.45,0,0,0
ORD-100245,B2B-72219,428.71,7,10,0,80.81,3,0,0
ORD-100246,B2B-69353,80.41,3,11,1,60.71,0,0,0
ORD-100247,B2B-97825,371.6,3,8,1,63.23,1,0,0
ORD-100248,B2B-41580,585.24,7,10,0,78.55,0,0,0
ORD-100249,B2B-87026,149.38,3,9,1,62.02,0,0,0
ORD-100250,B2B-33680,278.55,3,14,0,69.68,2,0,1
ORD-100251,B2B-71321,460.1,7,7,0,73.4,5,0,1
ORD-100252,B2B-29323,274.14,3,14,1,58.45,1,0,0
ORD-100253,B2B-21541,112.75,3,9,0,52.84,-2,0,0
ORD-100254,B2B-70465,465.9,3,7,0,64.67,0,0,0
ORD-100255,B2B-532,57.73,7,8,0,60.99,0,0,0
ORD-100256,B2B-28602,223.1,3,14,0,47.5,1,0,0
ORD-100257,B2B-97825,371.6,3,8,1,62.18,0,0,0
ORD-100258,B2B-16876,560.95,3,11,0,64.52,-2,0,0
ORD-100259,B2B-4952,366.81,3,12,1,59.66,3,0,0
ORD-100260,B2B-97276,198.51,3,11,1,42.85,-1,0,0
ORD-100261,B2B-67047,131.63,3,12,0,54.95,0,0,0
ORD-100262,B2B-24999,573.77,7,13,0,83.71,1,0,0
ORD-100263,B2B-77661,852.66,3,13,0,97.84,-2,0,0
ORD-100264,B2B-11521,26.15,3,14,1,53.91,0,0,0
ORD-100265,B2B-90230,406.47,7,14,0,53.64,0,0,0
ORD-100266,B2B-8916,335.64,3,14,1,59.2,0,0,0
ORD-100267,B2B-76032,668.56,3,8,0,77.29,4,1,0
ORD-100268,B2B-4727,619.93,7,10,0,71.7,-4,0,0
ORD-100269,B2B-21199,136.6,3,13,0,50.2,-1,0,0
ORD-100270,B2B-5208,483.35,3,9,1,64.13,-1,0,0
ORD-100271,B2B-41054,470.71,7,12,1,77.49,0,0,0
ORD-100272,B2B-52871,625.46,3,9,0,78.56,0,0,0
ORD-100273,B2B-70586,271.32,7,9,0,76.04,3,0,1
ORD-100274,B2B-64224,300.91,3,11,0,53.56,2,0,0
ORD-100275,B2B-63735,225.01,3,14,0,70.51,-3,0,0
ORD-100276,B2B-31506,802.14,7,9,0,92.82,3,0,0
ORD-100277,B2B-44951,832.42,3,9,0,94.39,0,0,0
ORD-100278,B2B-77707,132.1,3,10,1,68.3,2,0,0
ORD-100279,B2B-26477,267.63,3,7,1,60.82,0,0,0
ORD-100280,B2B-55636,103.07,7,7,0,54.53,1,0,0
ORD-100281,B2B-87928,293.15,3,7,1,68.86,0,0,0
ORD-100282,B2B-91425,396.55,3,12,0,68.08,0,0,0
ORD-100283,B2B-42372,306.08,3,10,0,67.2,1,0,0
ORD-100284,B2B-1563,182.02,3,13,0,43.04,0,0,0
ORD-100285,B2B-41761,248.81,3,9,1,61.57,0,0,0
ORD-100286,B2B-16615,353.55,3,9,1,74.57,-2,0,0
ORD-100287,B2B-68212,41.47,3,11,0,57.75,0,0,0
ORD-100288,B2B-24999,573.77,7,14,0,71.78,-1,0,0
ORD-100289,B2B-42934,637.56,3,9,0,78.87,5,2,0
ORD-100290,B2B-35745,188.89,7,7,1,61.84,-1,0,0
ORD-100291,B2B-80380,545.83,3,13,0,81.82,1,0,0
ORD-100292,B2B-45330,371.39,3,10,1,76.0,0,0,0
ORD-100293,B2B-78279,40.95,3,9,1,58.86,2,0,0
ORD-100294,B2B-93117,583.68,3,9,1,79.56,-1,0,0
ORD-100295,B2B-37533,626.0,3,7,0,88.96,1,0,0
ORD-100296,B2B-5208,483.35,3,13,0,60.36,-1,0,0
ORD-100297,B2B-77661,852.66,3,11,0,99.04,4,1,0
ORD-100298,B2B-33897,555.88,7,8,0,84.72,-3,0,0
ORD-100299,B2B-6754,533.44,3,12,0,56.32,-3,0,0
ORD-100300,B2B-2258,331.68,3,9,1,75.18,0,0,0
ORD-100301,B2B-69254,391.86,7,8,0,69.63,-1,0,0
ORD-100302,B2B-67196,206.28,7,14,0,74.75,0,0,0
ORD-100303,B2B-54971,147.06,7,7,0,52.43,-1,0,0
ORD-100304,B2B-19407,308.14,3,11,0,68.81,2,0,0
ORD-100305,B2B-29290,739.67,7,13,1,90.28,-1,0,0
ORD-100306,B2B-42934,637.56,3,7,1,73.62,-2,0,0
ORD-100307,B2B-19617,408.26,7,8,0,75.74,-4,0,0
ORD-100308,B2B-40085,297.66,3,8,1,70.36,1,0,0
ORD-100309,B2B-28109,53.68,7,12,0,39.05,-2,0,0
ORD-100310,B2B-3524,100.69,3,8,1,46.52,0,0,0
ORD-100311,B2B-44847,130.12,7,11,0,56.65,-2,0,0
ORD-100312,B2B-80845,385.64,7,11,0,74.11,2,0,0
ORD-100313,B2B-49044,662.08,7,14,0,99.01,0,0,0
ORD-100314,B2B-32334,496.63,3,7,0,65.57,1,0,0
ORD-100315,B2B-9928,85.7,3,14,0,61.72,-2,0,0
ORD-100316,B2B-41777,60.38,7,11,1,62.2,2,0,0
ORD-100317,B2B-83562,229.29,7,12,0,65.71,0,0,0
ORD-100318,B2B-73752,578.14,7,13,1,75.82,0,0,0
ORD-100319,B2B-57091,159.39,3,8,1,63.97,-2,0,0
ORD-100320,B2B-74836,437.22,3,13,1,66.21,-3,0,0
ORD-100321,B2B-34949,297.34,3,12,0,69.32,0,0,0
ORD-100322,B2B-69617,439.75,7,13,1,75.65,1,0,0
ORD-100323,B2B-17894,412.29,7,8,0,65.44,4,0,0
ORD-100324,B2B-75299,418.34,3,8,0,51.33,1,0,0
ORD-100325,B2B-20130,297.52,7,8,0,84.19,0,0,0
ORD-100326,B2B-43127,363.12,7,11,0,67.71,1,0,0
ORD-100327,B2B-76032,668.56,3,13,0,79.18,1,0,0
ORD-100328,B2B-97825,371.6,3,13,1,81.92,1,0,0
ORD-100329,B2B-86225,237.6,3,7,0,78.97,-1,0,0
ORD-100330,B2B-90230,406.47,7,11,1,60.92,2,0,0
ORD-100331,B2B-40702,229.26,7,7,0,72.2,2,0,1
ORD-100332,B2B-19617,408.26,7,7,0,69.42,3,0,0
ORD-100333,B2B-79418,263.24,3,9,0,56.43,0,0,0
ORD-100334,B2B-80146,723.44,7,12,0,86.61,4,0,0
ORD-100335,B2B-79418,263.24,3,11,1,63.06,0,0,0
ORD-100336,B2B-31938,430.15,3,12,0,64.78,-1,0,0
ORD-100337,B2B-51328,571.61,3,12,0,77.71,-3,0,0
ORD-100338,B2B-84509,417.09,3,10,0,82.65,0,0,0
ORD-100339,B2B-65084,218.58,7,11,0,31.79,2,0,0
ORD-100340,B2B-18191,239.43,3,10,0,55.08,-2,0,0
ORD-100341,B2B-77661,852.66,3,12,0,90.79,-1,0,0
ORD-100342,B2B-54945,251.33,7,10,1,59.74,4,0,0
ORD-100343,B2B-17740,162.38,3,13,0,46.74,1,0,0
ORD-100344,B2B-65084,218.58,7,7,0,76.06,0,0,0
ORD-100345,B2B-97673,665.56,3,10,1,97.84,1,0,0
ORD-100346,B2B-39734,599.79,3,14,0,86.23,2,0,0
ORD-100347,B2B-35745,188.89,7,10,1,50.83,1,0,0
ORD-100348,B2B-73101,574.65,3,10,0,84.02,-1,0,0
ORD-100349,B2B-14205,93.91,7,13,0,59.33,0,0,0
ORD-100350,B2B-4952,366.81,3,14,1,82.76,1,0,0
ORD-100351,B2B-26819,325.12,7,8,1,75.67,0,0,0
ORD-100352,B2B-42643,334.58,3,12,1,54.56,0,0,0
ORD-100353,B2B-9272,404.59,3,9,0,63.71,-1,0,0
ORD-100354,B2B-55596,37.19,3,7,0,44.99,-1,0,0
ORD-100355,B2B-4919,100.95,3,12,0,64.07,0,0,0
ORD-100356,B2B-64472,409.98,3,14,0,65.71,0,0,0
ORD-100357,B2B-77702,154.37,7,9,0,68.02,1,0,0
ORD-100358,B2B-1530,38.68,3,7,0,40.95,1,0,0
ORD-100359,B2B-2144,421.59,7,9,0,76.61,0,0,0
ORD-100360,B2B-19595,342.82,7,12,0,61.05,-1,0,0
ORD-100361,B2B-96003,174.33,3,12,0,45.05,1,0,0
ORD-100362,B2B-77707,132.1,3,8,0,61.98,2,0,0
ORD-100363,B2B-33680,278.55,3,14,1,69.75,-1,0,0
ORD-100364,B2B-16185,106.42,3,8,0,69.67,-1,0,0
ORD-100365,B2B-96462,172.15,3,14,0,42.96,0,0,0
ORD-100366,B2B-2402,399.68,3,12,0,81.63,-2,0,0
ORD-100367,B2B-36771,443.33,3,12,0,79.49,0,0,0
ORD-100368,B2B-75299,418.34,3,13,0,77.36,0,0,0
ORD-100369,B2B-77661,852.66,3,11,1,98.76,3,0,0
ORD-100370,B2B-70465,465.9,3,9,0,68.26,0,0,0
ORD-100371,B2B-33181,257.39,3,9,1,61.52,0,0,0
ORD-100372,B2B-44847,130.12,7,12,0,62.91,-3,0,0
ORD-100373,B2B-80380,545.83,3,11,0,90.58,2,0,0
ORD-100374,B2B-68919,182.23,7,10,1,79.31,2,0,0
ORD-100375,B2B-23088,52.74,3,11,0,63.09,0,0,0
ORD-100376,B2B-75641,39.25,3,10,0,47.04,3,0,0
ORD-100377,B2B-72474,663.97,7,7,0,69.21,2,0,0
ORD-100378,B2B-15887,234.39,7,9,0,67.32,0,0,0
ORD-100379,B2B-83887,45.19,7,13,1,61.11,1,0,0
ORD-100380,B2B-97673,665.56,3,12,1,76.75,0,0,0
ORD-100381,B2B-33006,288.71,3,9,0,79.25,-2,0,0
ORD-100382,B2B-49044,662.08,7,9,0,70.34,0,0,0
ORD-100383,B2B-79418,263.24,3,9,0,76.58,2,0,0
ORD-100384,B2B-70465,465.9,3,12,0,63.08,1,0,0
ORD-100385,B2B-30729,556.38,3,7,0,69.02,2,0,0
ORD-100386,B2B-32334,496.63,3,8,0,79.57,2,0,0
ORD-100387,B2B-55930,264.74,3,8,0,71.78,3,0,0
ORD-100388,B2B-20890,275.5,7,14,0,94.39,-2,0,0
ORD-100389,B2B-4919,100.95,3,11,0,43.54,0,0,0
ORD-100390,B2B-81420,147.06,3,8,0,65.01,0,0,0
ORD-100391,B2B-39082,287.99,3,10,0,62.89,0,0,0
ORD-100392,B2B-41706,65.65,7,11,0,51.79,-1,0,0
ORD-100393,B2B-41580,585.24,7,10,0,85.49,-2,0,0
ORD-100394,B2B-36364,450.6,3,9,1,74.65,0,0,0
ORD-100395,B2B-21862,673.76,3,13,1,77.37,3,0,1
ORD-100396,B2B-42372,306.08,3,9,0,66.05,0,0,0
ORD-100397,B2B-9589,646.64,3,13,0,80.37,0,0,0
ORD-100398,B2B-79028,466.94,3,10,1,76.43,1,0,1
ORD-100399,B2B-80168,467.72,3,11,0,65.92,0,0,0
ORD-100400,B2B-34252,310.33,3,13,1,58.47,-1,0,0
ORD-100401,B2B-9933,318.11,7,8,0,63.06,0,0,0
